name;sku;active;region_id;platforms;platform_family;release_date;last_update_date;top_category;subscribers_count;float_price;is_lowest_price;id;url;cover;flags;retail_products;trophies.platinum;last_update.end_date;last_update.discount_percent;last_update.price;last_update.price_plus;last_update.price_old;user.subscribed;user.owns;user.ownership_types.1;user.ownership_types.2;user.ownership_types.3;user.ownership_types.4;user.ownership_types.5;user.liked;user.hid;scores.metacritic.score;scores.metacritic.id;scores.opencritic.score;scores.opencritic.id;scores.appstore.score
'times Like These' — Foo Fighters;EP0006-BLES00228_00-PROCKBANDX000409;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T05:54:19+03:00;add_on;0;1.99;True;598965;/region-es/game/598965/times-like-these-foo-fighters;https://image.api.playstation.com/cdn/EP0006/BLES00228_00/eHJe97av8pR5OLywDALDyzh41mFXhJMR.png?w=440&thumb=false;[];[];False;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'typical' — Mute Math;EP0006-BLES00228_00-PROCKBANDX000439;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T05:54:22+03:00;add_on;0;1.99;True;598989;/region-es/game/598989/typical-mute-math;https://image.api.playstation.com/cdn/EP0006/BLES00228_00/Yo6pLntC2H5bUbnXYTTEID2CDCloXizT.png?w=440&thumb=false;[];[];False;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'Aerials' — System Of A Down;EP0006-BLES00986_00-RBAERIALSCCFF1D9;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T06:08:51+03:00;add_on;0;1.49;True;607423;/region-es/game/607423/aerials-system-of-a-down;https://image.api.playstation.com/cdn/EP0006/BLES00986_00/FtMPt2iAou90xHaD0C26IlbtKMvg6jQE.png?w=440&thumb=false;[];[];False;;0;1,49 €;1,49 €;1,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'Alone' — Heart;EP0006-BLES00986_00-RBALONEXXF1C5000;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T06:08:54+03:00;add_on;0;1.49;True;607450;/region-es/game/607450/alone-heart;https://image.api.playstation.com/cdn/EP0006/BLES00986_00/FYhjL1X0vXwFUadw7i7BOumjpxzw2zDb.png?w=440&thumb=false;[];[];False;;0;1,49 €;1,49 €;1,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'Alright' — Darius Rucker;EP0006-BLES00986_00-RBALRIGHT66FD000;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T06:08:54+03:00;add_on;0;1.49;True;607454;/region-es/game/607454/alright-darius-rucker;https://image.api.playstation.com/cdn/EP0006/BLES00986_00/9jThZXhr7Q1uJ1r55AhkHhKD21CdMBsK.png?w=440&thumb=false;[];[];False;;0;1,49 €;1,49 €;1,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
'American Pie' — Don Mclean;EP8802-BLES01611_00-RBAMERICA640FC00;True;13;['PS4', 'PS3'];1;2015-10-02T03:00:00+03:00;2016-08-07T06:08:56+03:00;add_on;0;1.49;True;607470;/region-es/game/607470/american-pie-don-mclean;https://image.api.playstation.com/cdn/EP8802/BLES01611_00/49IyWW1eIPG2MWje8jgvQt4eNo9EPrWI.png?w=440&thumb=false;[];[];False;;0;1,49 €;1,49 €;1,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Call Of Duty: Ghosts — Paquete Calaveras;EP0002-CUSA00025_00-GHOSTSPERSONAL20;True;13;['PS4', 'PS3'];1;2014-07-30T04:00:00+04:00;2016-08-07T06:20:42+03:00;add_on;0;1.99;True;613790;/region-es/game/613790/call-of-duty-ghosts-paquete-calaveras;https://image.api.playstation.com/cdn/EP0002/CUSA00025_00/LvSIMgEIkgop4HDWAvUsECRYV81cnBKF.png?w=440&thumb=false;[];[];True;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Call Of Duty: Ghosts — Paquete Pelotón — Extinción;EP0002-CUSA00025_00-GHOSTSEXTINSQUAD;True;13;['PS4'];1;2014-05-22T04:00:00+04:00;2016-08-07T06:57:44+03:00;add_on;0;2.99;True;633924;/region-es/game/633924/call-of-duty-ghosts-paquete-peloton-extincion;https://image.api.playstation.com/cdn/EP0002/CUSA00025_00/2wlU3wI26cn0Gk6OD0xuwRhny3I9l74v.png?w=440&thumb=false;[];[];True;;0;2,99 €;2,99 €;2,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Call Of Duty: Ghosts — Devastation;EP0002-CUSA00025_00-CALLDUTYGHOSDLC4;True;13;['PS4', 'PS3'];1;2014-05-08T04:00:00+04:00;2019-09-05T06:07:23+03:00;add_on;0;14.49;False;633942;/region-es/game/633942/call-of-duty-ghosts-devastation;https://image.api.playstation.com/cdn/EP0002/CUSA00025_00/Unm4yPDSrSYHAjdAUkCGpyXHtof1ZQGw.png?w=440&thumb=false;[];[];True;;0;14,49 €;14,49 €;5,79 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Trials Fusion — Bundle Psn;EP0001-CUSA00230_00-B000000000001050;True;13;['PS4'];1;2014-04-16T04:00:00+04:00;2020-06-25T17:24:52+03:00;add_on;0;-1.0;True;633985;/region-es/game/633985/trials-fusion-bundle-psn;https://image.api.playstation.com/cdn/EP0001/CUSA00230_00/n9qsLtjTkbiJDFyqLvWWqBGLoLHJ75Y0.png?w=440&thumb=false;[];[];False;;0;-1 €;Gratis;Gratis;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Disfraz De Shelby;EP9000-BCES00141_00-LBPDLCSONYCO0022;True;13;['PS4', 'PS3', 'PSVita'];1;2010-06-09T04:00:00+04:00;2016-08-07T11:45:20+03:00;add_on;0;1.99;True;787841;/region-es/game/787841/disfraz-de-shelby;https://image.api.playstation.com/cdn/EP9000/BCES00141_00/jj4nx2n1V2bxrZkuDL6tZBrXmSFKqxpX.png?w=440&thumb=false;[];[];False;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Pack De Expasión Décimo Aniversario;EP9000-CUSA00002_00-MPEXPANSION00002;True;13;['PS4'];1;2014-11-05T03:00:00+03:00;2016-08-07T13:05:17+03:00;add_on;0;9.99;True;830404;/region-es/game/830404/pack-de-expasion-decimo-aniversario;https://image.api.playstation.com/cdn/EP9000/CUSA00002_00/QQIrG6krt7UdFFB9lt79gYYUXa08gkwD.png?w=440&thumb=false;[];[];True;;0;9,99 €;9,99 €;9,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Dw8Xlce — Imágenes De Fondo: Set Reino;EP4108-CUSA00365_00-DW8WPKINGDOMSET0;True;13;['PS4', 'PS3', 'PSVita'];1;2017-08-18T03:00:00+03:00;2017-08-18T19:38:29+03:00;add_on;0;1.99;True;1725059;/region-es/game/1725059/dw8xlce-imagenes-de-fondo-set-reino;https://image.api.playstation.com/cdn/EP4108/CUSA00365_00/ApBzWS0VC5x8gdtRE1HfuWKG1Yc8uvZi.png?w=440&thumb=false;[];[];True;;0;1,99 €;1,99 €;1,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Rocksmith 2014 – Parachute By Chris Stapleton;EP0001-BLES01862_00-RS002SONG0001265;True;13;['PS4', 'PS3'];1;2020-01-08T03:00:00+03:00;2020-01-08T05:25:36+03:00;add_on;0;2.99;True;3375335;/region-es/game/3375335/rocksmith-2014-parachute-by-chris-stapleton;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0001-BLES01862_00-RS002SONG0001265/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];False;;0;2,99 €;2,99 €;2,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Rocksmith 2014 – Father Of All — Green Day;EP0001-BLES01862_00-RS002SONG0001280;True;13;['PS4', 'PS3'];1;2020-02-12T03:00:00+03:00;2020-02-12T05:55:00+03:00;add_on;0;2.99;True;3437343;/region-es/game/3437343/rocksmith-2014-father-of-all-green-day;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0001-BLES01862_00-RS002SONG0001280/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];False;;0;2,99 €;2,99 €;2,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Rocksmith 2014 – This Is Gonna Hurt — Sixxa.M.;EP0001-BLES01862_00-RS002SONG0001292;True;13;['PS4', 'PS3'];1;2020-03-11T03:00:00+03:00;2020-03-11T05:35:00+03:00;add_on;0;2.99;True;3457262;/region-es/game/3457262/rocksmith-2014-this-is-gonna-hurt-sixxa-m;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0001-BLES01862_00-RS002SONG0001292/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];False;;0;2,99 €;2,99 €;2,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
